47131 :Obion, Tennessee
47133 :Overton, Tennessee
47135 :Perry, Tennessee
47137 :Pickett, Tennessee
22001 :Acadia, Louisiana
22003 :Allen, Louisiana
47139 :Polk, Tennessee
47141 :Putnam, Tennessee
22005 :Ascension, Louisiana
44001 :Bristol, Rhode Island
22007 :Assumption, Louisiana
47143 :Rhea, Tennessee
44003 :Kent, Rhode Island
47145 :Roane, Tennessee
22009 :Avoyelles, Louisiana
22011 :Beauregard, Louisiana
44005 :Newport, Rhode Island
47147 :Robertson, Tennessee
47149 :Rutherford, Tennessee
44007 :Providence, Rhode Island
22013 :Bienville, Louisiana
47151 :Scott, Tennessee
22015 :Bossier, Louisiana
44009 :Washington, Rhode Island
47153 :Sequatchie, Tennessee
22017 :Caddo, Louisiana
47155 :Sevier, Tennessee
22019 :Calcasieu, Louisiana
22021 :Caldwell, Louisiana
47157 :Shelby, Tennessee
47159 :Smith, Tennessee
22023 :Cameron, Louisiana
22025 :Catahoula, Louisiana
47161 :Stewart, Tennessee
22027 :Claiborne, Louisiana
47163 :Sullivan, Tennessee
22029 :Concordia, Louisiana
47165 :Sumner, Tennessee
47167 :Tipton, Tennessee
22031 :De Soto, Louisiana
22033 :East Baton Rouge, Louisiana
47169 :Trousdale, Tennessee
47171 :Unicoi, Tennessee
22035 :East Carroll, Louisiana
47173 :Union, Tennessee
22037 :East Feliciana, Louisiana
47175 :Van Buren, Tennessee
22039 :Evangeline, Louisiana
47177 :Warren, Tennessee
22041 :Franklin, Louisiana
22043 :Grant, Louisiana
47179 :Washington, Tennessee
47181 :Wayne, Tennessee
22045 :Iberia, Louisiana
22047 :Iberville, Louisiana
47183 :Weakley, Tennessee
47185 :White, Tennessee
22049 :Jackson, Louisiana
22051 :Jefferson, Louisiana
47187 :Williamson, Tennessee
47189 :Wilson, Tennessee
22053 :Jefferson Davis, Louisiana
22055 :Lafayette, Louisiana
22057 :Lafourche, Louisiana
22059 :La Salle, Louisiana
22061 :Lincoln, Louisiana
22063 :Livingston, Louisiana
22065 :Madison, Louisiana
22067 :Morehouse, Louisiana
22069 :Natchitoches, Louisiana
22071 :Orleans, Louisiana
22073 :Ouachita, Louisiana
22075 :Plaquemines, Louisiana
22077 :Pointe Coupee, Louisiana
22079 :Rapides, Louisiana
22081 :Red River, Louisiana
22083 :Richland, Louisiana
22085 :Sabine, Louisiana
22087 :St Bernard, Louisiana
22089 :St Charles, Louisiana
22091 :St Helena, Louisiana
22093 :St James, Louisiana
22095 :St John The Baptist, Louisiana
22097 :St Landry, Louisiana
22099 :St Martin, Louisiana
22101 :St Mary, Louisiana
22103 :St Tammany, Louisiana
22105 :Tangipahoa, Louisiana
22107 :Tensas, Louisiana
22109 :Terrebonne, Louisiana
22111 :Union, Louisiana
22113 :Vermilion, Louisiana
22115 :Vernon, Louisiana
22117 :Washington, Louisiana
22119 :Webster, Louisiana
22121 :West Baton Rouge, Louisiana
22123 :West Carroll, Louisiana
22125 :West Feliciana, Louisiana
22127 :Winn, Louisiana
19001 :Adair, Iowa
19003 :Adams, Iowa
19005 :Allamakee, Iowa
41001 :Baker, Oregon
19007 :Appanoose, Iowa
19009 :Audubon, Iowa
41003 :Benton, Oregon
19011 :Benton, Iowa
41005 :Clackamas, Oregon
19013 :Black Hawk, Iowa
41007 :Clatsop, Oregon
19015 :Boone, Iowa
41009 :Columbia, Oregon
41011 :Coos, Oregon
19017 :Bremer, Iowa
19019 :Buchanan, Iowa
41013 :Crook, Oregon
19021 :Buena Vista, Iowa
41015 :Curry, Oregon
19023 :Butler, Iowa
41017 :Deschutes, Oregon
41019 :Douglas, Oregon
19025 :Calhoun, Iowa
19027 :Carroll, Iowa
41021 :Gilliam, Oregon
41023 :Grant, Oregon
19029 :Cass, Iowa
41025 :Harney, Oregon
19031 :Cedar, Iowa
19033 :Cerro Gordo, Iowa
41027 :Hood River, Oregon
19035 :Cherokee, Iowa
41029 :Jackson, Oregon
19037 :Chickasaw, Iowa
41031 :Jefferson, Oregon
19039 :Clarke, Iowa
41033 :Josephine, Oregon
41035 :Klamath, Oregon
19041 :Clay, Iowa
41037 :Lake, Oregon
19043 :Clayton, Iowa
19045 :Clinton, Iowa
41039 :Lane, Oregon
19047 :Crawford, Iowa
41041 :Lincoln, Oregon
41043 :Linn, Oregon
19049 :Dallas, Iowa
41045 :Malheur, Oregon
19051 :Davis, Iowa
19053 :Decatur, Iowa
41047 :Marion, Oregon
41049 :Morrow, Oregon
19055 :Delaware, Iowa
41051 :Multnomah, Oregon
19057 :Des Moines, Iowa
19059 :Dickinson, Iowa
41053 :Polk, Oregon
19061 :Dubuque, Iowa
41055 :Sherman, Oregon
41057 :Tillamook, Oregon
19063 :Emmet, Iowa
19065 :Fayette, Iowa
41059 :Umatilla, Oregon
41061 :Union, Oregon
19067 :Floyd, Iowa
19069 :Franklin, Iowa
41063 :Wallowa, Oregon
